1,23.37,2020-11-23 11:36:07
2,22.06,2020-11-23 11:36:07
1,22.93,2020-11-23 11:37:07
2,21.16,2020-11-23 11:37:07
1,22.54,2020-11-23 11:38:07
2,21.38,2020-11-23 11:38:07
1,20.6,2020-11-23 11:39:07
2,20.2,2020-11-23 11:39:07
1,21.94,2020-11-23 11:40:07
2,24.33,2020-11-23 11:40:07
1,24.77,2020-11-23 11:41:07
2,20.75,2020-11-23 11:41:07
1,23.57,2020-11-23 11:42:07
2,23.63,2020-11-23 11:42:07
1,24.84,2020-11-23 11:43:07
2,21.24,2020-11-23 11:43:07
1,22.41,2020-11-23 11:44:07
2,21.23,2020-11-23 11:44:07
1,23.12,2020-11-23 11:45:07
2,20.01,2020-11-23 11:45:07
1,24.88,2020-11-23 11:46:07
2,23.78,2020-11-23 11:46:07
1,22.62,2020-11-23 11:47:07
2,22.85,2020-11-23 11:47:07
1,24.66,2020-11-23 11:48:07
2,21.09,2020-11-23 11:48:07
1,22.52,2020-11-23 11:49:07
2,24.77,2020-11-23 11:49:07
1,20.25,2020-11-23 11:50:07
2,22.37,2020-11-23 11:50:07
1,20.96,2020-11-23 11:51:07
2,21.96,2020-11-23 11:51:07
1,23.88,2020-11-23 11:52:07
2,20.17,2020-11-23 11:52:07
1,24.58,2020-11-23 11:53:07
2,23.89,2020-11-23 11:53:07
1,23.77,2020-11-23 11:54:07
2,23.62,2020-11-23 11:54:07
1,20.87,2020-11-23 11:55:07
2,20.01,2020-11-23 11:55:07
1,24.65,2020-11-23 11:56:07
2,22.8,2020-11-23 11:56:07
1,22.6,2020-11-23 11:57:07
2,24.34,2020-11-23 11:57:07
1,21.45,2020-11-23 11:58:07
2,21.96,2020-11-23 11:58:07
1,23.06,2020-11-23 11:59:07
2,22.74,2020-11-23 11:59:07
1,24.56,2020-11-23 12:00:07
2,24.11,2020-11-23 12:00:07
1,23.9,2020-11-23 12:01:07
2,24.69,2020-11-23 12:01:07
1,20.88,2020-11-23 12:02:07
2,23.13,2020-11-23 12:02:07
1,24.96,2020-11-23 12:03:07
2,22.59,2020-11-23 12:03:07
1,21.11,2020-11-23 12:04:07
2,23.38,2020-11-23 12:04:07
1,24.2,2020-11-23 12:05:07
2,24.06,2020-11-23 12:05:07
1,22.55,2020-11-23 12:06:07
2,24.45,2020-11-23 12:06:07
1,23.88,2020-11-23 12:07:07
2,20.89,2020-11-23 12:07:07
1,20.3,2020-11-23 12:08:07
2,20.36,2020-11-23 12:08:07
1,21.31,2020-11-23 12:09:07
2,20.35,2020-11-23 12:09:07
1,23.96,2020-11-23 12:10:07
2,21.38,2020-11-23 12:10:07
1,21.76,2020-11-23 12:11:07
2,24.06,2020-11-23 12:11:07
1,21.2,2020-11-23 12:12:07
2,22.99,2020-11-23 12:12:07
1,23.68,2020-11-23 12:13:07
2,21.64,2020-11-23 12:13:07
1,22.55,2020-11-23 12:14:07
2,23.34,2020-11-23 12:14:07
1,22.11,2020-11-23 12:15:07
2,21.19,2020-11-23 12:15:07
1,20.55,2020-11-23 12:16:07
2,20.55,2020-11-23 12:16:07
1,20.2,2020-11-23 12:17:07
2,23.85,2020-11-23 12:17:07
1,22.8,2020-11-23 12:18:07
2,23.41,2020-11-23 12:18:07
1,20.48,2020-11-23 12:19:07
2,21.37,2020-11-23 12:19:07
1,22.45,2020-11-23 12:20:07
2,23.91,2020-11-23 12:20:07
1,24.76,2020-11-23 12:21:07
2,22.05,2020-11-23 12:21:07
1,22.58,2020-11-23 12:22:07
2,20.47,2020-11-23 12:22:07
1,22.13,2020-11-23 12:23:07
2,22.09,2020-11-23 12:23:07
1,20.31,2020-11-23 12:24:07
